num_nodes;blocks_finalized;duration_sec;tx_size_bytes;txs_per_block;latency
4;3167;60;242;1000;0.018522459696614584
4;3146;60;242;1000;0.018680013026041668
4;3151;60;242;1000;0.018686056194010415
4;3138;60;242;1000;0.01873306328161669
4;3144;60;242;1000;0.018720747971354167
4;361;60;242;10000;0.14474428937362638
4;358;60;242;10000;0.1500937984065934
4;358;60;242;10000;0.14908571568131868
4;359;60;242;10000;0.14735863867032967
4;359;60;242;10000;0.1490628163956044
4;868;60;992;1000;0.06382898939130434
4;866;60;992;1000;0.06370865533816425
4;863;60;992;1000;0.06419708280097088
4;860;60;992;1000;0.06537693402912621
4;860;60;992;1000;0.06457854972330097
4;89;60;992;10000;0.5684402061052631
4;89;60;992;10000;0.5793837195789473
4;88;60;992;10000;0.5923024225789474
4;88;60;992;10000;0.5927996249999999
4;88;60;992;10000;0.5946588799473684
7;2426;60;242;1000;0.023603886255747126
7;2419;60;242;1000;0.02366063374566474
7;2422;60;242;1000;0.02364527513583815
7;2421;60;242;1000;0.023531726300578037
7;2421;60;242;1000;0.023609667835260115
7;272;60;242;10000;0.19955345388372092
7;272;60;242;10000;0.20704563509302323
7;271;60;242;10000;0.20348281976744187
7;271;60;242;10000;0.20755683874418604
7;271;60;242;10000;0.20574703506976744
7;634;60;992;1000;0.0821953160326087
7;634;60;992;1000;0.08676159852173913
7;629;60;992;1000;0.08779817061956521
7;629;60;992;1000;0.08693619222826088
7;631;60;992;1000;0.08768999781521739
7;69;60;992;10000;0.6852340077272727
7;69;60;992;10000;0.7173009460909091
7;69;60;992;10000;0.7097152782727273
7;69;60;992;10000;0.705314127
7;69;60;992;10000;0.7107047480909091
10;1931;60;242;1000;0.029019829513513517
10;1934;60;242;1000;0.02939554877837838
10;1932;60;242;1000;0.029827799016216218
10;1940;60;242;1000;0.028797640562162163
10;1939;60;242;1000;0.028733289405405406
10;228;60;242;10000;0.22923023494444447
10;228;60;242;10000;0.23608675538888887
10;228;60;242;10000;0.2343864085
10;227;60;242;10000;0.24654815772222222
10;228;60;242;10000;0.23333478316666667
10;503;60;992;1000;0.10929226753703704
10;504;60;992;1000;0.10808855005454546
10;500;60;992;1000;0.11055393878181818
10;505;60;992;1000;0.10802246201818182
10;504;60;992;1000;0.10899742312962964
10;59;60;992;10000;0.9286352465000001
34;825;60;242;1000;0.07374499164705883
34;820;60;242;1000;0.07538204911764705
34;828;60;242;1000;0.0737424614375
34;827;60;242;1000;0.07502492135294117
34;826;60;242;1000;0.07539422623529413
34;118;60;242;10000;0.673194347
34;273;60;992;1000;0.289325012
34;273;60;992;1000;0.285172803
34;273;60;992;1000;0.281659825
34;273;60;992;1000;0.272282555
34;273;60;992;1000;0.283396186
34;32;60;992;10000;2.292
67;507;60;242;1000;0.14143592166666666
67;507;60;242;1000;0.1523849738
67;508;60;242;1000;0.1524447202
67;498;60;242;1000;0.1488749306
67;506;60;242;1000;0.1490228818
67;504;60;242;1000;0.1531100216
67;504;60;242;1000;0.159741
67;504;60;242;1000;0.15903756925
67;501;60;242;1000;0.15873493175
67;502;60;242;1000;0.1521240906
67;59;60;242;10000;1.660703538
67;159;60;992;1000;0.593793829
67;150;60;992;1000;0.663408108
67;150;60;992;1000;0.678051272
67;150;60;992;1000;0.678051272
67;150;60;992;1000;0.698336531
67;11;60;992;10000;3.936
100;376;60;242;1000;0.1900984982
100;41;60;242;10000;1.854
100;104;60;992;1000;0.748
100;9;60;992;10000;6.515
